CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
T46457;EDUCACIONAL;Faixa 08 - De 150 M ate 300 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2465,769547;4065517023;1494;SP;SP
T44012;EDUCACIONAL;Faixa 04 - De 25 M ate 35 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;7;2703,411765;1047574865;215;MG;MG
T45525;EDUCACIONAL;Faixa 07 - De 75 M ate 150 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2472,472222;2220497176;153;MG;MG
T42559;CONSTRUCAO E PROJETOS;Faixa 07 - De 75 M ate 150 M;MANUFATURA - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;6;2925,672414;685739841;311;SP;SP
T47723;JURIDICO;Faixa 00 - Ate 4,5 M;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;7;3760,041667;1877537587;25;SP;SP
T49216;JURIDICO;Faixa 08 - De 150 M ate 300 M;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;8;3955;602473554;109;SP;SP
T52926;EDUCACIONAL;Faixa 07 - De 75 M ate 150 M;FLUIG - CORE;MODALIDADE CORPORATIVO;Sudeste;9;2850,770833;1473372361;474;RJ;RJ
T47387;VAREJO;Faixa 04 - De 25 M ate 35 M;DISTRIBUICAO & VAREJO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;7;3259,869565;487326559;24;MG;MG
T53570;SERVICOS;Faixa 08 - De 150 M ate 300 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3903,939394;3840844571;58;SP;SP
T50372;CONSTRUCAO E PROJETOS;Faixa 07 - De 75 M ate 150 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2831,363636;;113;MG;MG
T51907;JURIDICO;Faixa 02 - De 7,5 M ate 15 M;SERVICOS DE IMPLANTACAO;MODALIDADE CORPORATIVO;Sudeste;8;3917,821429;3198115720;5;SP;SP
T48579;EDUCACIONAL;Faixa 02 - De 7,5 M ate 15 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3037,157895;378468303;226;MG;MG
T54237;CONSTRUCAO E PROJETOS;Faixa 03 - De 15 M ate 25 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;3184,758621;;12;MG;MG
T52685;EDUCACIONAL;Faixa 02 - De 7,5 M ate 15 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2628,4;1213104695;144;SP;SP
T52637;SERVICOS;Faixa 03 - De 15 M ate 25 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2014,866667;1088209583;138;SP;SP
T56033;JURIDICO;Faixa 01 - De 4,5 M ate 7,5 M;JURIDICO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2736,361111;6326536830;17;RJ;RJ
T54187;DISTRIBUICAO;Faixa 06 - De 50 M ate 75 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2884,510204;809505180;177;SP;SP
T57392;CONSTRUCAO E PROJETOS;Faixa 06 - De 50 M ate 75 M;MANUFATURA - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;10;2727,33871;937708609;36;SP;SP
T58706;EDUCACIONAL;Faixa 08 - De 150 M ate 300 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2521,028571;809567550;152;SP;SP
T59082;SERVICOS;Faixa 08 - De 150 M ate 300 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2824,53125;1601982215;129;SP;SP
T58044;CONSTRUCAO E PROJETOS;Faixa 11 - Acima de 850 M;FLUIG - CORE;MODALIDADE CORPORATIVO;Sudeste;8;3276,057471;1952443942;638;SP;SP
T58447;VAREJO;Faixa 03 - De 15 M ate 25 M;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2753,452381;;269;MG;MG
T58720;SERVICOS;Faixa 06 - De 50 M ate 75 M;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2162,78;1689618456;85;MG;MG
